Drop Down,Drop Down.1,Drop Down.2,Drop Down.3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Drop Down.4,Drop Down.5,251031 - added column from Synthetics,251031 - added column from Synthetics .1,251031 - added column from Synthetics .2
CGT,1,NME Selection,Analytical Development (AD),,"DAS Committee  has  reported knowledge of Mechanism of Action at time of NME designation.  Gaps are acceptable when documented in the risk register and accompanied by commitment (Therapeutics  Discovery (TD), TA) to fill them by SG 4. Level 1 Governance and BCC will work with CMC Team to monitor progress on closing MoA gaps at SG discussions between SG 1 – SG 4. (work in progress) ",,,,,,,
CGT,1,NME Selection,Analytical Development (AD),,"Confirm that sampling plans have been set up such that (non-clinical) needs and  BTDS/PSTS/TD sample needs (i.e. reference materials, development activities) and analytical needs are met.",,,,,,,
CGT,1,NME Selection,API (Cell & Gene),,"Confirm that sampling plans have been set up such that (non-clinical) needs and  BTDS/PSTS/TD sample needs (i.e. reference materials, development activities) and analytical needs are met.",,,,,,,
CGT,1,NME Selection,API (Cell & Gene),,"EHS Requirement:  Develop default SDS, Confirm default API PBOEL HHC Category Determine the Risk Group (RG) and appropriate Biosafety Level (BSL); Initiate regulated substances impact - as applicable (see EHS tab for contacts); ERA categorical exclusion  (USA IND)",,,,,,,
CGT,1,NME Selection,API (Cell & Gene),,EHS Requirement: Supplier & Contractor assessment (evaluate if needed),,,,,,,
CGT,1,NME Selection,API (Cell & Gene),,Ph2b/Ph3/commercial manufacturing cell line available (applicable for Lenti Vector & other Gene Therapies),,,,,,,
CGT,1,NME Selection,API (Cell & Gene),,Early Phase Plasmid/Master Virus Bank has been identified (if applicable),,,,,,,
CGT,1,NME Selection,API (Cell & Gene),,IND ready/Full GMP plasmids and/or pre-MVB released (if applicable),,,,,,,
CGT,1,NME Selection,API (Cell & Gene),,Confirm early phase manufacturing process is equivalent to the Discovery Mfg. process (CAR-T & other Gene Therapies),,,,,,,
CGT,1,NME Selection,API (Cell & Gene),,"Engage Material Sciences (MS) on any potential off-platform materials and selecting raw material suppliers, as needed.",,,,,,,
CGT,1,NME Selection,API (Cell & Gene),,Secure early development sourcing decision from sourcing committee.,,,,,,,
CGT,1,NME Selection,API (Cell & Gene),,Sourcing options identified for ENG/Ph1 from sourcing committee (incl vector and plasmid.),,,,,,,
CGT,1,NME Selection,Clinical Supply Chain (CSC),,"CAR-T IP platform: Assessment completed on CAR-T IP Vein to vein  specific requirements - Logistic, CPCC, COC/COI, Systems and identification of long lead times risking readiness for Stage 2.",,,,,,,
CGT,1,Ph1/2 mfg. Readiness and Preliminary Phase 2b/3 Sourcing Assessment,Clinical Supply Chain (CSC),,"Set up End-to-end planning and meeting, including sourcing/capacity assessment and risks",,,,,,,
CGT,1,Ph1/2 mfg. Readiness and Preliminary Phase 2b/3 Sourcing Assessment,Clinical Supply Chain (CSC),,Ensure overall CSC FTE and OOP budget compound and study level in place,,,,,,,
CGT,1,NME Selection,CMC Leadership (CMC-L),,"Define CRITICAL QUESTIONS based on information available in the initial TPP, criticality analysis and molecule properties from Discovery, DAS Committee  or external partner (L&A). Gaps in knowledge of mechanism of action or mechanism of toxicity could be considered for critical questions. Note when CQAs are linked to gaps in knowledge of Mechanism of Action or Mechanism of Toxicity; as gaps are closed by TA and/or Biotech CoE, method development can begin.",,,,,,,
CGT,1,NME Selection,CMC Leadership (CMC-L),,"Confirm that sampling plans have been set up such that (non-clinical) needs and BTDS/PSTS/TD sample needs (i.e. reference materials, development activities) and analytical needs are met.",,,,,,,
CGT,1,NME Selection,CMC Leadership (CMC-L),,Developability assessment report reviewed (if applicable).,,,,,,,
CGT,1,NME Selection,CMC Leadership (CMC-L),,Ph1 TT project team kick-off.,,,,,,,
CGT,1,NME Selection,CMC Leadership (CMC-L),,"Initial/Early development TPP-CMC created & approved by CMC Council, GSM, TA.",,,,,,,
CGT,1,NME Selection,CMC Leadership (CMC-L),,Develop CMC Risk Register.,,,,,,,
CGT,1,NME Selection,CMC Leadership (CMC-L),,Stage 1 CMC Council presentation completed.,,,,,,,
CGT,1,NME Selection,CMC Leadership (CMC-L),,Initiate Criticality Analysis.,,,,,,,
CGT,1,NME Selection,CMC Leadership (CMC-L),,"Define the need for  placebo, define the  strategy for placebo production (e.g., product-specific?). Define which  attributes need to be blinded.",,,,,,,
CGT,1,NME Selection,CMC Leadership (CMC-L),,Review and support Global GMO Strategy initiated by GMO group ,,,,,,,
CGT,1,NME Selection,CMC Leadership (CMC-L),,Review Global Import/Export Strategy (e.g. Autologous CAR-T and LV),,,,,,,
CGT,1,NME Selection,CMC Regulatory Affairs (RA),,Regulatory Implementation Strategy defined based on global development strategy,,,,,,,
CGT,1,NME Selection,CMC Regulatory Affairs (RA),,"Support proposals for Health Authority engagement (e.g. Scientific Advice, FDA pre IND meetings, INTERACT)",,,,,,,
CGT,1,NME Selection,CMC Regulatory Affairs (RA),,Review and support Global GMO Strategy initiated by GMO group ,,,,,,,
CGT,1,NME Selection,CMC Regulatory Affairs (RA),,Review Global Import/Export Strategy (e.g. Autologous CAR-T and LV),,,,,,,
CGT,1,NME Selection,CMC Regulatory Affairs (RA),,Identification of regulatory risks and mitigations ,,,,,,,
CGT,1,NME Selection,Combination Products  Development Process (CPDP),,CPDP Portfolio Management & Concept Feasibility Stage (Concludes concurrently with End of Stage 4 CMC),,,,,,,
CGT,1,NME Selection,Combination Products  Development Process (CPDP),,"Device options for tox, phase1/2a, if applicable [Pack & Dev]  ",,,,,,,
CGT,1,NME Selection,Combination Products  Development Process (CPDP),,Readiness for the Combo Product and/or labs (Initial Purchasing Controls)- Supplier and Contractor Audit [If applicable],,,,,,,
CGT,1,NME Selection,Combination Products  Development Process (CPDP),,Readiness for the Combo Product and/or labs (Initial Purchasing Controls)- Device Quality Agreement (Supplier/Manufacturer) [If applicable],,,,,,,
CGT,1,NME Selection,Combination Products  Development Process (CPDP),,Readiness for the Combo Product and/or labs (Initial Purchasing Controls)-  Device Testing Quality Agreement (Lab to Lab),,,,,,,
CGT,1,NME Selection,Combination Products  Development Process (CPDP),,"Readiness for the Combo Product and/or labs (Initial Purchasing Controls)-  Device Quality Agreement (Device component, device itself and Purchasing Control/ for Combo    Products)",,,,,,,
CGT,1,NME Selection,Combination Products  Development Process (CPDP),,"Readiness for the Combo Product and/or labs (Initial Purchasing Controls)-  Spec for Immediate(Primary) Container Packaging Materials (i.e. Syringe, and Vial w/stopper)",,,,,,,
CGT,1,NME Selection,Combination Products  Development Process (CPDP),,Readiness for the Combo Product and/or labs (Initial Purchasing Controls)-  Third Party  (Design Partner) Design Control Audit Report (If Applicable),,,,,,,
CGT,1,NME Selection,Drug Product Development & Delivery (DPD&D),,Perform formulation screening of pre-NME candidates for the vector and Cell therapy candidate & review the data package for NME declaration,,,,,,,
CGT,1,NME Selection,Drug Product Development & Delivery (DPD&D),,Endorse plan for DP manufacturing process & formulation in support of initial clinical,,,,,,,
CGT,1,NME Selection,Drug Product Development & Delivery (DPD&D),,Secure early development sourcing decision from sourcing committee.,,,,,,,
CGT,1,NME Selection,Drug Product Development & Delivery (DPD&D),,Evaluate stability and dosage prep/compatibility requirements versus the early development TPP and identify risks and mitigations.,,,,,,,
CGT,1,NME Selection,Drug Product Development & Delivery (DPD&D),,"Confirm that a Formulation lock is in place before GLP-Tox / Phase 1 batches are produced (to enable appropriate Early Reference Material coverage, enable Analytical Method Development and enable Cleaning Validation).",,,,,,,
CGT,1,NME Selection,Drug Product Development & Delivery (DPD&D),,Sourcing of reference materials aligned across Functional lines,,,,,,,
CGT,1,NME Selection,Drug Product Development & Delivery (DPD&D),,Clinical Primary Component Specifications initiated. ,,,,,,,
CGT,1,NME Selection,Drug Product Development & Delivery (DPD&D),,Clinical Container Closure System Suitability Assessment initiated.,,,,,,,
CGT,1,NME Selection,Drug Product Development & Delivery (DPD&D),,Evaluation of platform approach for early phase container closure selection per TV-TRG-08576,,,,,,,
CGT,1,NME Selection,JSC Value Chain Management (VCLs),,"Provide early supply chain input as needed (COGS estimates - based on Pharmaceutical Valuation Guideline (PVG), capacity analysis, sourcing options).",,,,,,,
CGT,1,NME Selection,Material Sciences (MS),,"Ensure raw material compendial compliance (e.g., USP-NF, Ph. Eur., JP, ChP) as applicable to meet IND/IMPD control of raw materials.",,,,,,,
CGT,1,NME Selection,Material Sciences (MS),,"CMO Tech Transfer / Internal site engagement and on-boarding  for introduction of Ph1/2a raw material requirements controls (selection, qualification, release testing specifications and analytical methods) as soon as able based on site selection decision and legal/business requirements (as applicable) and include in business contracts (SOWs). Critical review of CMO material qualification, methods, specifications and change management practices for raw materials.  Alignment of CMO to Janssen standards and expectations for overall material qualification and controls.",,,,,,,
CGT,1,NME Selection,Material Sciences (MS),,"Engage with API/DPD&D/Cell Banking/CMO to support material selection strategy for the build of Ph1/2a Bill of Materials (BOM). Define raw material control strategy for new and new use raw materials used in API (cell banking, upstream, downstream) and DP processes. ",,,,,,,
CGT,1,NME Selection,Product Quality Management (PQM),,Site Readiness and GMP status confirmed (as applicable).,,,,,,,
CGT,1,NME Selection,Product Quality Management (PQM),,Quality agreement at all sites (external & internal) initiated (if applicable).,,,,,,,
CGT,1,NME Selection,Product Quality Management (PQM),,Supplier/external lab qualification initiated.,,,,,,,
CGT,1,NME Selection,Program Management (PMO),,"Define CRITICAL QUESTIONS in Risk Register based on information available in the initial TPP, criticality analysis and molecule properties from Discovery, DAS Committee  or external partner (L&A). Gaps in knowledge of mechanism of action or mechanism of toxicity could be considered for critical questions. Note when CQAs are linked to gaps in knowledge of Mechanism of Action or Mechanism of Toxicity; as gaps are closed by TA and/or Biotech CoE, method development can begin.",,,,,,,
CGT,1,NME Selection,Program Management (PMO),,"Confirm that sampling plans have been set up such that (non-clinical) needs and BTDS/PSTS/TD sample needs (i.e. reference materials, development activities) and analytical needs are met.",,,,,,,
CGT,1,NME Selection,Program Management (PMO),,IPSC (Intrinsic Properties & Structural Characterization) report from J-Bio reviewed. ,,,,,,,
CGT,1,NME Selection,Program Management (PMO),,Ph1 CMC project team kick-off.,,,,,,,
CGT,1,NME Selection,Program Management (PMO),,"Establish preliminary CMC TPP which then populates the QTPP worksheet.  Ensure that initial/Early development CMC-TPP created & approved by CMC Council, GSM, TA. Completing the TPP fields populates the QTPP. ",,,,,,,
CGT,1,NME Selection,Program Management (PMO),,Develop CMC Risk Register.,,,,,,,
CGT,1,NME Selection,Program Management (PMO),,Stage 1 CMC Council presentation completed.,,,,,,,
CGT,1,NME Selection,Program Management (PMO),,Initiate Criticality Analysis. Delete as Stage 2 captures the deliverable. ,,,,,,,
CGT,1,NME Selection,Program Management (PMO),,Patent and Publication Strategy:  Summarize potential unique aspects of the process that could lead to publications and/or patents.   ,,,,,,,
CGT,1,NME Selection,Program Management (PMO),,"Define the strategy for placebo production (e.g., product-specific?). Define which attributes need to be blinded. ",,,,,,,
CGT,1,NME Selection,Program Management (PMO),,Define clinical starting dose (MABEL or other).,,,,,,,
CGT,1,NME Selection,Program Management (PMO),,Define route of administration.,,,,,,,
CGT,1,NME Selection,Program Management (PMO),,Define Tox supply strategy and DPDS R&R (as some times DPDS does not supply) including comparability strategy to Phase 1 GMP (if required).,,,,,,,
CGT,1,NME Selection,Program Management (PMO),,Ensure Integrated Strategic Plan is prepared (EtoE DPDS focus). ,,,,,,,
CGT,2,Ph1/2 mfg. Readiness and Preliminary Phase 2b/3 Sourcing Assessment,Analytical Development (AD),,Perform Critical Quality Attribute analysis.,,,,,,,
CGT,2,Ph1/2 mfg. Readiness and Preliminary Phase 2b/3 Sourcing Assessment,Analytical Development (AD),,"Assessment of ""Platformability"" and validation of Platform IPC, DS, DP Analytical Methods for clinical release (includes bioactivity) completed or added to the risk register to mitigate.",,,,,,,
CGT,2,Ph1/2 mfg. Readiness and Preliminary Phase 2b/3 Sourcing Assessment,Analytical Development (AD),,"Secure material for method development, preparation of Research Reference Material (RRM) and early development controls, and initiate temperature cycling studies, as applicable.",,,,,,,
CGT,2,Ph1/2 mfg. Readiness and Preliminary Phase 2b/3 Sourcing Assessment,Analytical Development (AD),,Developmental Assay Controls (i.e. early research reference material) filled and qualified for use (if needed).,,,,,,,
CGT,2,Ph1/2 mfg. Readiness and Preliminary Phase 2b/3 Sourcing Assessment,Analytical Development (AD),,"Mycoplasma and AVA testing completed for Tox/Ph1 intermediate, if applicable.",,,,,,,
CGT,2,Ph1/2 mfg. Readiness and Preliminary Phase 2b/3 Sourcing Assessment,Analytical Development (AD),,"Review testing protocol and execute ""Conditions of Use"" study (protocol from DPD) to support GLP Tox study.",,,,,,,
CGT,2,Ph1/2 mfg. Readiness and Preliminary Phase 2b/3 Sourcing Assessment,Analytical Development (AD),,Tox/Ph1/MVB/MVSS/DS/DP methods transfer completed (CRS or applicable testing labs ready).,,,,,,,
CGT,2,Ph1/2 mfg. Readiness and Preliminary Phase 2b/3 Sourcing Assessment,Analytical Development (AD),,"Ph1 specification for release and stability (including justification) approved for MVB/MVSS intermediate (if applicable), drug substance and drug product.",,,,,,,
CGT,2,Ph1/2 mfg. Readiness and Preliminary Phase 2b/3 Sourcing Assessment,Analytical Development (AD),,In-process methods development & qualification report for Tox/Ph1 DS & DP sites completed,,,,,,,
CGT,2,Ph1/2 mfg. Readiness and Preliminary Phase 2b/3 Sourcing Assessment,Analytical Development (AD),,"Ph1 intermediate, DS and DP Stability Protocols completed.",,,,,,,
CGT,2,Ph1/2 mfg. Readiness and Preliminary Phase 2b/3 Sourcing Assessment,Analytical Development (AD),,"Define sample retention strategy for in-process intermediates, DS and DP, for clinical and late-stage production campaigns. ",,,,,,,
CGT,2,Ph1/2 mfg. Readiness and Preliminary Phase 2b/3 Sourcing Assessment,Analytical Development (AD),,"Confirm that sampling plans have been set up such that (non-clinical) needs and BTDS/PSTS/TD sample needs (i.e. reference materials, development activities) and analytical needs are met.",,,,,,,
CGT,2,Ph1/2 mfg. Readiness and Preliminary Phase 2b/3 Sourcing Assessment,API (Cell & Gene),,"Confirm that sampling plans have been set up such that (non-clinical) needs and BTDS/PSTS/TD sample needs (i.e. reference materials, development activities) and analytical needs are met.",,,,,,,
CGT,2,Ph1/2 mfg. Readiness and Preliminary Phase 2b/3 Sourcing Assessment,API (Cell & Gene),,MCB and WCB CoAs generated (as applicable),,,,,,,
CGT,2,API Process & DP Phase 2b/3 Development Plan,API (Cell & Gene),,EHS requirement: Prepare Bio-safety classification memo (BSL/RG),,,,,,,
CGT,2,FIH Readiness,API (Cell & Gene),,Make and release plasmids/virus,,,,,,,
CGT,2,FIH Readiness,API (Cell & Gene),,"Stability plans in place for the MCB/plasmid/virus 
",,,,,,,
CGT,2,FIH Readiness,API (Cell & Gene),,Plasmid Characterization and incoming receipt testing plans in place and reviewed by Level 1 governance  ,,,,,,,
CGT,2,Ph1/2 mfg. Readiness and Preliminary Phase 2b/3 Sourcing Assessment,API (Cell & Gene),,Cell line history source documents approved.,,,,,,,
CGT,2,Ph1/2 mfg. Readiness and Preliminary Phase 2b/3 Sourcing Assessment,API (Cell & Gene),,Cell Bank history source documents approved.,,,,,,,
CGT,2,Ph1/2 mfg. Readiness and Preliminary Phase 2b/3 Sourcing Assessment,API (Cell & Gene),,Plasmid/MVB history source documents approved.,,,,,,,
CGT,2,Ph1/2 mfg. Readiness and Preliminary Phase 2b/3 Sourcing Assessment,API (Cell & Gene),,Plasmid bank /MVB history source documents approved.,,,,,,,
CGT,2,Ph1/2 mfg. Readiness and Preliminary Phase 2b/3 Sourcing Assessment,API (Cell & Gene),,Process Fit to Plant (PF2P) activities completed at Tox/Ph 1 manufacturing site. Risks/mitigation plans identified. (as applicable),,,,,,,
CGT,2,Ph1/2 mfg. Readiness and Preliminary Phase 2b/3 Sourcing Assessment,API (Cell & Gene),,"Tox/Ph1 TT to DS mfg. site documents approved (e.g., DPFD).",,,,,,,
CGT,2,Ph1/2 mfg. Readiness and Preliminary Phase 2b/3 Sourcing Assessment,API (Cell & Gene),,"Provide ""release"" documentation for non-GLP Tox lab-scale development batch (endotoxin, BB).",,,,,,,
CGT,2,Ph1/2 mfg. Readiness and Preliminary Phase 2b/3 Sourcing Assessment,API (Cell & Gene),,Evaluate and identify risks regarding the ability to meet commercial TPP requirements.,,,,,,,
CGT,2,Ph1/2 mfg. Readiness and Preliminary Phase 2b/3 Sourcing Assessment,API (Cell & Gene),,Criticality assessment of impurity levels versus acceptable toxicological thresholds completed prior to release of first clinical batch.,,,,,,,
CGT,2,Ph1/2 mfg. Readiness and Preliminary Phase 2b/3 Sourcing Assessment,API (Cell & Gene),,Link defined CQA's to control strategy.,,,,,,,
CGT,2,FIH Readiness,API (Cell & Gene),,"EHS requirements: Create SDS for API, Confirm PBOEL HHC 2, if required",,,,,,,
CGT,2,NME Selection,API (Cell & Gene),,Site readiness and GMP status confirmed; including equipment being qualified,,,,,,,
CGT,2,Biologics Clinical Planning & Operations (BCPO),API (Cell & Gene),,API & DP: Ph1-2a  manufacturing sites sourced/locked,,,,,,,
CGT,2,Ph1/2 mfg. Readiness and Preliminary Phase 2b/3 Sourcing Assessment,API (Cell & Gene),,Ph1-2a DS&DP mfg. equipment qualified and site(s) ready.,,,,,,,
CGT,2,Ph1/2 mfg. Readiness and Preliminary Phase 2b/3 Sourcing Assessment,API (Cell & Gene),,Ph1 mfg. lots scheduled ,,,,,,,
CGT,2,Ph1/2 mfg. Readiness and Preliminary Phase 2b/3 Sourcing Assessment,API (Cell & Gene),,Raw Materials inventory assessed and procurement risk mitigated for  Ph1-2a DS&DP manufacturing,,,,,,,
CGT,2,Ph1/2 mfg. Readiness and Preliminary Phase 2b/3 Sourcing Assessment,Clinical Supply Chain (CSC),,Tox/Ph1/2 Clinical supply plan prepared and aligned with clinical demand forecast and enrollment projection,,,,,,,
CGT,2,Ph1/2 mfg. Readiness and Preliminary Phase 2b/3 Sourcing Assessment,Clinical Supply Chain (CSC),,"CAR-T IP platform: CAR-T IP Vein to vein ready for Ph1/2 - Logistic, CPCC, COC/COI, Systems. If pending topics, stage gate 3 risk assessment readiness completed.",,,,,,,
CGT,2,Ph1/2 mfg. Readiness and Preliminary Phase 2b/3 Sourcing Assessment,Clinical Supply Chain (CSC),,Overall  CSC TA FTE and OOP budget compound and study level,,,,,,,
CGT,2,Ph1/2 mfg. Readiness and Preliminary Phase 2b/3 Sourcing Assessment,Clinical Supply Chain (CSC),,"EHS Requirement: Integrate DGTC reqs. Into Ph1 1st, 2nd, 3rd packaging solution",,,,,,,
CGT,2,Ph1/2 mfg. Readiness and Preliminary Phase 2b/3 Sourcing Assessment,CMC Leadership (CMC-L),,"Update CRITICAL QUESTIONS, if necessary, based on information available in the initial TPP, criticality analysis and molecule properties from Discovery, DAS Committee or external partner (L&A). Gaps in knowledge of mechanism of action or mechanism of toxicity could be considered for critical questions. Note when CQAs are linked to gaps in knowledge of Mechanism of Action or Mechanism of Toxicity; as gaps are closed by TA and/or Biotech CoE, method development can begin.",,,,,,,
CGT,2,Ph1/2 mfg. Readiness and Preliminary Phase 2b/3 Sourcing Assessment,CMC Leadership (CMC-L),,"Confirm that sampling plans have been set up such that (non-clinical) needs and BTDS/PSTS/TD sample needs (i.e. reference materials, development activities) and analytical needs are met.",,,,,,,
CGT,2,Ph1/2 mfg. Readiness and Preliminary Phase 2b/3 Sourcing Assessment,CMC Leadership (CMC-L),,Approve Criticality Assessment prior to release of clinical supplies.,,,,,,,
CGT,2,Ph1/2 mfg. Readiness and Preliminary Phase 2b/3 Sourcing Assessment,CMC Leadership (CMC-L),,Update CMC Risk Register.,,,,,,,
CGT,2,Ph1/2 mfg. Readiness and Preliminary Phase 2b/3 Sourcing Assessment,CMC Leadership (CMC-L),,Kick off Drug Product Preparation and Administration Team (DPAT).,,,,,,,
CGT,2,Ph1/2 mfg. Readiness and Preliminary Phase 2b/3 Sourcing Assessment,CMC Leadership (CMC-L),,Stage 2 CMC Council presentation completed.,,,,,,,
CGT,2,Ph1/2 mfg. Readiness and Preliminary Phase 2b/3 Sourcing Assessment,CMC Leadership (CMC-L),,Review current plans and data to determine if development buy-ups are needed.,,,,,,,
CGT,2,Ph1/2 mfg. Readiness and Preliminary Phase 2b/3 Sourcing Assessment,CMC Leadership (CMC-L),,Add comparability risk to risk register (if applicable).,,,,,,,
CGT,2,Ph1/2 mfg. Readiness and Preliminary Phase 2b/3 Sourcing Assessment,CMC Leadership (CMC-L),,EHS Requirement: Ensure CMC information is provided to Environmental Risk Assessment (ERA) on Genetically Modified Organisms (ERA GMO Clinical).  ,,,,,,,
CGT,2,Ph1/2 mfg. Readiness and Preliminary Phase 2b/3 Sourcing Assessment,CMC Leadership (CMC-L),,"Review and revise the CGT Raw Material and Starting Material Sourcing Strategy (e.g. Plasmids & Vectors, Cell line, Excipients, IP/licensing considerations) as needed ",,,,,,,
CGT,2,Ph1/2 mfg. Readiness and Preliminary Phase 2b/3 Sourcing Assessment,CMC Regulatory Affairs (RA),,"Clinical filings IND, IMPD",,,,,,,
CGT,2,Ph1/2 mfg. Readiness and Preliminary Phase 2b/3 Sourcing Assessment,CMC Regulatory Affairs (RA),,Review of Global GMO Strategy and impact on clinical filings and GCDO,,,,,,,
CGT,2,Ph1/2 mfg. Readiness and Preliminary Phase 2b/3 Sourcing Assessment,CMC Regulatory Affairs (RA),,Review of regulatory risks and mitigations ,,,,,,,
CGT,2,Ph1/2 mfg. Readiness and Preliminary Phase 2b/3 Sourcing Assessment,Combination Products  Development Process (CPDP),,CPDP Portfolio Management & Concept Feasibility Stage,,,,,,,
CGT,2,Ph1/2 mfg. Readiness and Preliminary Phase 2b/3 Sourcing Assessment,Combination Products  Development Process (CPDP),,Purchasing Control - Supplier and Contractor Audit,,,,,,,
CGT,2,Ph1/2 mfg. Readiness and Preliminary Phase 2b/3 Sourcing Assessment,Combination Products  Development Process (CPDP),,Purchasing Control - Device Quality Agreement (Manufacturing),,,,,,,
CGT,2,Ph1/2 mfg. Readiness and Preliminary Phase 2b/3 Sourcing Assessment,Combination Products  Development Process (CPDP),,Purchasing Control - Device Testing Quality Agreement (Lab to Lab),,,,,,,
CGT,2,Ph1/2 mfg. Readiness and Preliminary Phase 2b/3 Sourcing Assessment,Combination Products  Development Process (CPDP),,"Purchasing Control - Device Quality Agreement (Device component, device itself and Purchasing Control/ for Combo Products)",,,,,,,
CGT,2,Ph1/2 mfg. Readiness and Preliminary Phase 2b/3 Sourcing Assessment,Combination Products  Development Process (CPDP),,"Purchasing Control - Spec for Immediate(Primary) Container Packaging Materials (i.e. Syringe, and Vial w/stopper)",,,,,,,
CGT,2,Ph1/2 mfg. Readiness and Preliminary Phase 2b/3 Sourcing Assessment,Combination Products  Development Process (CPDP),,Purchasing Control - Third Party Design Control Audit Report (If Applicable),,,,,,,
CGT,2,Ph1/2 mfg. Readiness and Preliminary Phase 2b/3 Sourcing Assessment,Combination Products  Development Process (CPDP),,Select Devices (Prototype Delivery System to Support Phase 0/1/2a - TV-SOP-21504) if applicable.,,,,,,,
CGT,2,Ph1/2 mfg. Readiness and Preliminary Phase 2b/3 Sourcing Assessment,Combination Products  Development Process (CPDP),,Clinical Design History File (per DS-SOP-16241) for the investigation combination product being used in Phase 0/1/2 if applicable. ,,,,,,,
CGT,2,Ph1/2 mfg. Readiness and Preliminary Phase 2b/3 Sourcing Assessment,Drug Product Development & Delivery (DPD&D),,Stability protocol approved and study initiated (ensure that sample test requirements are communicated to Analytical),,,,,,,
CGT,2,Ph1/2 mfg. Readiness and Preliminary Phase 2b/3 Sourcing Assessment,Drug Product Development & Delivery (DPD&D),,Tox/Ph1 formulation composition and DP presentation defined along with accompanying raw materials and primary packaging.,,,,,,,
CGT,2,Ph1/2 mfg. Readiness and Preliminary Phase 2b/3 Sourcing Assessment,Drug Product Development & Delivery (DPD&D),,Develop Pharmacy Manual Plan (including diluent for Gene Therapy as needed),,,,,,,
CGT,2,Ph1/2 mfg. Readiness and Preliminary Phase 2b/3 Sourcing Assessment,Drug Product Development & Delivery (DPD&D),,DPD PF2P activities completed at Ph 1 DP manufacturing sites - as applicable,,,,,,,
CGT,2,Ph1/2 mfg. Readiness and Preliminary Phase 2b/3 Sourcing Assessment,Drug Product Development & Delivery (DPD&D),,Communicate Tox/Ph1 formulation to API / AD. ,,,,,,,
CGT,2,Ph1/2 mfg. Readiness and Preliminary Phase 2b/3 Sourcing Assessment,Drug Product Development & Delivery (DPD&D),,Tox shipping/storage memos approved - moved from CSC,,,,,,,
